[2026-07-15 20:07:18.000][INF] The COM:HCCoreBase ver is 6.1.4.15, 2020_03_05. Async:1.
[2026-07-15 20:07:18.000][INF] The COM:Core ver is 6.1.11.5, 2025_12_04. Async:1.
[2026-07-15 20:07:18.000][INF] This HCNetSDK ver is 6.1.11.5 Ver 2025_12_04.
[2026-07-15 20:07:18.001][INF] COM_Login dev 192.168.1.64:8000.
[2026-07-15 20:07:18.001][INF] dwTotalNum[2048]
[2026-07-15 20:07:18.002][INF] Private connect 192.168.1.64:8000 sock=166 this=0xf80f3e94 cmd=0x10000 port=36152
[2026-07-15 20:07:18.002][INF] LogonDev1 in[192.168.1.64:8000]
[2026-07-15 20:07:18.004][ERR] PRO_RecvProData_NewMemory pRecv->uiDvrStatus[1300] is not QULIFIED(1)
[2026-07-15 20:07:18.052][ERR] PRO_RecvProData_NewMemory pRecv->uiDvrStatus[16777315] is not QULIFIED(1)
[2026-07-15 20:07:21.948][DBG] CComBase::Load, Load szDllPath[/home/nvidia/kybot_ws/src/HK/C++demo/consoleDemo/linux64/lib/HCNetSDKCom/libHCPreview.so] SUCC
[2026-07-15 20:07:21.949][INF] AbilityAnalyze---Init-- start
[2026-07-15 20:07:21.954][DBG] AbilityAnalyze---Init-- over, DeviceList path [/home/nvidia/kybot_ws/src/HK/C++demo/consoleDemo/linux64/lib/HCNetSDKCom/LocalXml/DeviceList.xml], load result[0]
[2026-07-15 20:07:21.955][DBG] COM_Preview_GetSDKBuildVersion
[2026-07-15 20:07:21.955][INF] The COM:Preview ver is 6.1.11.5, 2025_12_04.
[2026-07-15 20:08:44.879][INF] Private connect 192.168.1.64:8000 sock=259 this=0xf80f3e94 cmd=0x30200 port=41706
[2026-07-15 20:08:44.949][INF] Private connect 192.168.1.64:8000 sock=259 this=0xf80f3e94 cmd=0x30200 port=41716
[2026-07-15 20:08:45.021][INF] Private connect 192.168.1.64:8000 sock=259 this=0xf80f3e94 cmd=0x30200 port=41718
[2026-07-15 20:09:07.823][INF] Private connect 192.168.1.64:8000 sock=259 this=0xf80f3e94 cmd=0x30200 port=41814
[2026-07-15 20:09:15.508][INF] Private connect 192.168.1.64:8000 sock=259 this=0xf80f3e94 cmd=0x30200 port=59990
[2026-07-15 20:09:17.144][INF] Private connect 192.168.1.64:8000 sock=259 this=0xf80f3e94 cmd=0x30200 port=60004
[2026-07-15 20:09:17.210][INF] Private connect 192.168.1.64:8000 sock=259 this=0xf80f3e94 cmd=0x30200 port=60008
[2026-07-15 20:09:17.279][INF] Private connect 192.168.1.64:8000 sock=259 this=0xf80f3e94 cmd=0x30200 port=60016
[2026-07-15 20:09:18.018][INF] Private connect 192.168.1.64:8000 sock=259 this=0xf80f3e94 cmd=0x30200 port=60028
[2026-07-15 20:09:19.375][INF] Private connect 192.168.1.64:8000 sock=259 this=0xf80f3e94 cmd=0x30200 port=33202
[2026-07-15 20:09:20.990][INF] Private connect 192.168.1.64:8000 sock=259 this=0xf80f3e94 cmd=0x30200 port=33222
[2026-07-15 20:09:21.056][INF] Private connect 192.168.1.64:8000 sock=259 this=0xf80f3e94 cmd=0x30200 port=33238
[2026-07-15 20:09:21.123][INF] Private connect 192.168.1.64:8000 sock=259 this=0xf80f3e94 cmd=0x30200 port=33244
[2026-07-15 20:09:23.071][INF] Private connect 192.168.1.64:8000 sock=259 this=0xf80f3e94 cmd=0x30200 port=33246
[2026-07-15 20:09:24.572][INF] Private connect 192.168.1.64:8000 sock=259 this=0xf80f3e94 cmd=0x30200 port=33248
[2026-07-15 20:09:26.098][INF] Private connect 192.168.1.64:8000 sock=259 this=0xf80f3e94 cmd=0x30200 port=33260
[2026-07-15 20:09:26.162][INF] Private connect 192.168.1.64:8000 sock=259 this=0xf80f3e94 cmd=0x30200 port=33262
[2026-07-15 20:09:26.231][INF] Private connect 192.168.1.64:8000 sock=259 this=0xf80f3e94 cmd=0x30200 port=33276
[2026-07-15 20:09:28.182][INF] Private connect 192.168.1.64:8000 sock=259 this=0xf80f3e94 cmd=0x30200 port=33282
[2026-07-15 20:09:31.064][INF] Private connect 192.168.1.64:8000 sock=259 this=0xf80f3e94 cmd=0x30200 port=55318
[2026-07-15 20:09:32.337][INF] Private connect 192.168.1.64:8000 sock=259 this=0xf80f3e94 cmd=0x30200 port=55330
[2026-07-15 20:09:32.402][INF] Private connect 192.168.1.64:8000 sock=259 this=0xf80f3e94 cmd=0x30200 port=55342
[2026-07-15 20:09:32.475][INF] Private connect 192.168.1.64:8000 sock=259 this=0xf80f3e94 cmd=0x30200 port=55352
[2026-07-15 20:09:34.447][INF] Private connect 192.168.1.64:8000 sock=259 this=0xf80f3e94 cmd=0x30200 port=55364
[2026-07-15 20:09:36.048][INF] Private connect 192.168.1.64:8000 sock=259 this=0xf80f3e94 cmd=0x30200 port=55372
[2026-07-15 20:09:38.218][INF] Private connect 192.168.1.64:8000 sock=259 this=0xf80f3e94 cmd=0x30200 port=55374
[2026-07-15 20:09:40.253][INF] Private connect 192.168.1.64:8000 sock=259 this=0xf80f3e94 cmd=0x30200 port=43978
[2026-07-15 20:09:42.253][INF] Private connect 192.168.1.64:8000 sock=259 this=0xf80f3e94 cmd=0x30200 port=43988
[2026-07-15 20:09:44.253][INF] Private connect 192.168.1.64:8000 sock=259 this=0xf80f3e94 cmd=0x30200 port=43992
[2026-07-15 20:09:46.253][INF] Private connect 192.168.1.64:8000 sock=259 this=0xf80f3e94 cmd=0x30200 port=44002
[2026-07-15 20:09:48.252][INF] Private connect 192.168.1.64:8000 sock=259 this=0xf80f3e94 cmd=0x30200 port=44006
[2026-07-15 20:09:50.253][INF] Private connect 192.168.1.64:8000 sock=259 this=0xf80f3e94 cmd=0x30200 port=39874
[2026-07-15 20:09:52.252][INF] Private connect 192.168.1.64:8000 sock=259 this=0xf80f3e94 cmd=0x30200 port=39880
[2026-07-15 20:09:54.253][INF] Private connect 192.168.1.64:8000 sock=259 this=0xf80f3e94 cmd=0x30200 port=39882
[2026-07-15 20:09:55.446][INF] Private connect 192.168.1.64:8000 sock=259 this=0xf80f3e94 cmd=0x30200 port=39890
[2026-07-15 20:10:02.848][INF] Private connect 192.168.1.64:8000 sock=259 this=0xf80f3e94 cmd=0x30200 port=37798
[2026-07-15 20:10:04.822][INF] Private connect 192.168.1.64:8000 sock=259 this=0xf80f3e94 cmd=0x30200 port=37802
[2026-07-15 20:10:06.753][INF] Private connect 192.168.1.64:8000 sock=259 this=0xf80f3e94 cmd=0x30200 port=37816
[2026-07-15 20:10:08.752][INF] Private connect 192.168.1.64:8000 sock=259 this=0xf80f3e94 cmd=0x30200 port=38334
[2026-07-15 20:10:10.753][INF] Private connect 192.168.1.64:8000 sock=259 this=0xf80f3e94 cmd=0x30200 port=38342
[2026-07-15 20:10:12.753][INF] Private connect 192.168.1.64:8000 sock=259 this=0xf80f3e94 cmd=0x30200 port=38358
[2026-07-15 20:10:14.752][INF] Private connect 192.168.1.64:8000 sock=259 this=0xf80f3e94 cmd=0x30200 port=38362
[2026-07-15 20:10:34.109][INF] Private connect 192.168.1.64:8000 sock=259 this=0xf80f3e94 cmd=0x30200 port=54186
[2026-07-15 20:10:39.555][INF] Private connect 192.168.1.64:8000 sock=259 this=0xf80f3e94 cmd=0x30200 port=33504
[2026-07-15 20:10:42.812][INF] Private connect 192.168.1.64:8000 sock=259 this=0xf80f3e94 cmd=0x30200 port=33510
[2026-07-15 20:10:46.682][INF] Private connect 192.168.1.64:8000 sock=259 this=0xf80f3e94 cmd=0x30200 port=33516
[2026-07-15 20:10:51.197][INF] Private connect 192.168.1.64:8000 sock=259 this=0xf80f3e94 cmd=0x30200 port=48422
[2026-07-15 20:10:56.548][INF] Private connect 192.168.1.64:8000 sock=259 this=0xf80f3e94 cmd=0x30200 port=48426
[2026-07-15 20:11:14.517][INF] Private connect 192.168.1.64:8000 sock=259 this=0xf80f3e94 cmd=0x30200 port=50464
